title,year,genre,duration,summary,link
לילה לא שקט,2025,"אימה, מתח",כ־105 דק',"📝 תקציר: בעיירה שקטה ערב חג המולד, דמות מסתורית בתחפושת סנטה מטילה אימה על התושבים. מה שמתחיל כאירוע אלים בודד הופך למסע רצח אכזרי שמטלטל את הקהילה כולה. עבר טראומטי וסודות ישנים צפים מחדש, כשאיש אינו יודע מי יהיה הקורבן הבא. סרט אימה אפל ואינטנסיבי שמשלב אווירת חג מצמררת עם מתח בלתי פוסק.",https://drive.google.com/file/d/1ApYgYq_fs_T2mzrLoab7IJo7O4cpKqko/view?usp=drivesdk
מול הלהבות,2026,"פעולה, מתח",כ־112 דק',"📝 תקציר: כאשר שריפות ענק מתפרצות ומתפשטות במהירות לעבר אזורים מיושבים, צוות לוחמי אש מובחר נשלח לעצור את האסון לפני שיהיה מאוחר מדי. בשטח בוער וחסר רחמים, הם מתמודדים לא רק עם הלהבות אלא גם עם תקלות, לחצים וסכנות בלתי צפויות. ככל שהמשימה מסתבכת, מתברר שיש מי שמרוויח מהכאוס. סרט קצבי ואינטנסיבי על גבורה, הקרבה והמאבק האנושי מול מציאות הרסנית.",https://drive.google.com/file/d/1adF7ZBQ9C-I_yVtymK9DTVfnwSWbZan4/view?usp=drivesdk
המנט,2025,דרמה היסטורית,כ־95 דק',"🔥 דרמה עוצמתית, מרגשת וסוחפת שכבשה את לב הצופים והמבקרים כאחד – חוויה קולנועית עמוקה שנוגעת בנשמה.* 🎥 משודר בימים אלו גם בקולנוע וזוכה לשבחים על המשחק, הצילום והעומק הרגשי.* 📝 תקציר: באנגליה של המאה ה־16, משפחה מתמודדת עם אובדן כבד שמטלטל את חייה מן היסוד. הטרגדיה האישית מחלחלת אל תוך היצירה והופכת למקור השראה עמוק וכואב. הסיפור מציג מבט אינטימי על אהבה, אבל והכוח של האמנות להנציח זיכרון. סרט מרגש במיוחד עם צילום מרהיב, משחק איכותי ואווירה היסטורית אותנטית שמעמיקה את החוויה.",https://drive.google.com/file/d/12-O8t2QVdXChly8aKZPP2NL1vF2ae_Of/view?usp=drivesdk
בובספוג הסרט: מחפשים את מכנסמרובע,2025,"אנימציה, הרפתקאות, קומדיה, משפחה",כ־95 דק',"📝 תקציר: כאשר בובספוג נעלם בנסיבות מסתוריות, פטריק וחבריו יוצאים למסע פרוע ברחבי ביקיני בוטום ומעבר לה. בדרך הם פוגשים דמויות משונות, אויבים ישנים והרפתקאות מפתיעות במיוחד. החיפוש אחר מכנסמרובע האהוב הופך למסע של חברות, אומץ והמון הומור מטורף. סרט צבעוני וקצבי לכל המשפחה עם כל השיגעון והקסם של בובספוג.",https://drive.google.com/file/d/1KeY5N_3lZjKxQxpuizkqQuUTZz555046/view?usp=drivesdk
פזיז,2026,פעולה,כ־104 דק',"📝 תקציר: כאשר פעולה שנראתה פשוטה מסתבכת וגוררת שרשרת אירועים מסוכנת, אדם אחד מוצא את עצמו עמוק בתוך עולם של פשע ובגידה. כדי לשרוד ולחשוף את האמת הוא נאלץ לפעול במהירות — גם אם זה אומר לקחת סיכונים גדולים. סרט פעולה חד ומהיר על גבולות האחריות והמחיר של החלטה פזיזה אחת.",https://drive.google.com/file/d/1GpKn9UUom6permiPX6m2UhUO16NnIfr9/view?usp=drivesdk
קרב בראשית,2025,"פעולה, אימה, מדע בדיוני, מלחמה",כ-133 דק’,"📝 תקציר: בשנת 1968, בזמן מלחמת וייטנאם, יחידת סיור של הצבא האמריקאי — Vulture Squad — נשלחת עמוק לתוך עמק ג’ונגל מבודד בחיפוש אחר פלוגת גרין ברטס שנעלמה. אך במקום אויב אנושי הם נתקלים בדינוזאורים פרהיסטוריים, תוצאה של ניסוי סודי ששוחרר בסביבה. מה שיש אמור להיות מבצע הצלה פשוט מנוגד במהרה למאבק הישרדות עז נגד יצורים חייתיים שלא נראו במשך מיליוני שנים. החיילים נאלצים להילחם לא רק בשיניים ולסתות אלא גם ברעידות פסיכולוגיות כשהם מנסים להציל את עצמם ומשפחותיהם.",https://drive.google.com/file/d/1IJUCUYdaMACPaxyTlMXdmQnrN9tmxN1y/view?usp=drivesdk
אלה מקיי,2025,"קומדיה, דרמה",כ־112 דק',"📝 תקציר: קומדיה דרמטית חדה ושנונה שעוקבת אחר אלה מקיי — אישה כריזמטית ושאפתנית שנכנסת לעולם הפוליטיקה ומגלה שהדרך לפסגה מלאה במכשולים לא צפויים. בין לחצים ציבוריים, אינטרסים נסתרים ואתגרים אישיים, היא נאלצת לאזן בין אידיאלים למציאות מורכבת. הסרט משלב הומור חכם עם רגעים אנושיים ומרגשים, ומציג סיפור על כוח, בחירות ומשמעות האחריות הציבורית.",https://drive.google.com/file/d/1GTYIiDWpdYtpb2uukhu3nDXvIiCoiFH9/view?usp=drivesdk
המגן,2026,"פעולה, מתח",כ־109 דק',"📝 תקציר: עוד סרט אקשן עוצמתי בכיכובו של Jason Statham, שמביא למסך את הסטייל המחוספס והקטלני שהפך לסימן ההיכר שלו. כאשר משימת אבטחה מסתבכת וחושפת רשת פשע מסוכנת, לוחם מיומן מוצא את עצמו נלחם לבדו מול מערכת מושחתת. ככל שהאמת נחשפת, כך הקרב הופך אישי יותר — והוא נחוש לסגור חשבון בכל מחיר. מותחן פעולה מהיר, חד ואינטנסיבי עם קרבות ישירים, מרדפים עוצמתיים וגיבור שלא עוצר עד שהמשימה מושלמת. לסגירת השישי לצד ההכי טוב שאפשר😎_",https://drive.google.com/file/d/1tWx7bznu8ilS49pdOLrjiAcEKEohxp48/view?usp=drivesdk
אוסקר שו,2025,"פעולה, פשע, מתח",כ־108 דק',"🔥 מותחן פשע קצבי שמביא למסך סיפור על עלייה מהתחתית אל לב העולם הפלילי. 📝 תקציר: אוסקר שו, צעיר שאפתן עם עבר מורכב, נשאב לעולם הפשע המאורגן בניסיון להוכיח את עצמו. מה שמתחיל כהזדמנות להתקדם במהירות הופך למאבק הישרדות מול אויבים מבית ומחוץ. כשהגבולות בין נאמנות לבגידה מיטשטשים, אוסקר נאלץ לבחור מי הוא באמת — ומה הוא מוכן להקריב כדי לשרוד.",https://drive.google.com/file/d/1bDwnPTjk3hBrbQjGfVfbJUEG2XyEcBcv/view?usp=drivesdk
מתוך האדמה,2024,"אימה, מתח",כ־95 דק',"📝 תקציר: כאשר תופעה מסתורית מתחילה לפקוד עיירה מבודדת, תושבים מגלים כי המתים אינם נשארים קבורים. ככל שהאירועים מתעצמים, קבוצה קטנה נאבקת להבין מה עומד מאחורי האימה — והאם ניתן לעצור אותה. מותחן אימה קודר שמשלב פחד פסיכולוגי עם תחושת איום מתמדת.",https://drive.google.com/file/d/1K1FH7D4V1JFjrplSAO5zVyYJbjA5Vvf2/view?usp=drivesdk
קוף הדם,2026,"אימה, מתח, מדע בדיוני",כ־110 דק',"🔥 יצירת אימה עוצמתית שמסכמת בין מתח פסיכולוגי לפחד טהור, עם יצור מדהים ומפחיד שמאתגר את כל מה שהכרתם. 🎥 משודר בקולנוע וזוכה לתגובות מטורפות, על האווירה המאפילה והעלילה המתפתלת שמחזיקה את הצופה דרוך. 📝 תקציר: קוף רב־עוצמה שנחשב למחקר מתקדם בודק את גבולות הביולוגיה — עד שכוחותיו משתחררים באלימות בלתי צפויה. היצורים במדינה נראים בתחילה מבדרים וסקרניים, אך במהרה מתגלים כיצורים קטלניים שמתחילים לצאת משליטה. קבוצה של מדענים וציידים נאלצת להתמודד עם הסכנה שחורגת מכל חוק טבע.",https://drive.google.com/file/d/1rJ0KHGqqSEiiZYBY-1UOMkLsCW9MaWqs/view?usp=drivesdk
לבנות מחדש,2025,דרמה,כ־96 דק',"📝 תקציר: לאחר טרגדיה קשה שמטלטלת את חייו, אדם מנסה להתחיל מחדש ולבנות את עולמו מחדש. במהלך הדרך הוא פוגש אנשים שמאתגרים את תפיסותיו ומעניקים לו הזדמנות למצוא תקווה במקום שבו הכול נראה אבוד. סיפור אנושי מרגש על אובדן, כוח פנימי והיכולת לקום מחדש לאחר נפילה.",https://drive.google.com/file/d/1c8EqngT-XqoY7Y28EDEyO96A42-bhY-q/view?usp=drivesdk
חייו של צ'אק,2024,"דרמה, פנטזיה, מדע בדיוני",כ־111 דק',"📝 תקציר: סיפור יוצא דופן המתמקד בחייו של אדם רגיל לכאורה בשם צ'אק, כאשר סיפורו נחשף בצורה לא שגרתית דרך רגעים שונים מחייו. העלילה משלבת זיכרונות, חלומות ואירועים מסתוריים שמרכיבים יחד פסיפס של חיים מלאי משמעות. זהו סיפור מרגש על זמן, גורל וההשפעה השקטה של אדם אחד על העולם סביבו.",https://drive.google.com/file/d/1b-jSM3gGn6eEyqLdmDcAbR53WjJ_FJLC/view?usp=drivesdk
28 שנה אחרי: מקדש העצמות,2026,אימה,כ־109 דק',"📝 תקציר: המשך לסרט ""28 שנה אחרי"". בשנת 2025, ד""ר קלטון מוצא את עצמו בעיירה מבודדת הנשלטת על ידי שכבות שונות של נגועים שעברו מוטציות מסוכנות. כאשר סיפורו נפגש עם סיפורם של ספייק וג'ימי קריסטל, מתברר כי הנגועים כבר אינם האיום היחיד – אלא גם בני האדם עצמם. בעולם שבו הגבול בין הישרדות לאנושיות מיטשטש, המאבק האמיתי הוא לא רק נגד המפלצות, אלא גם נגד מה שהאנושות עלולה להפוך אליו.",https://drive.google.com/file/d/1WFypy8mWh0hmVnJyjqB-vmMmSF2jYLBw/view?usp=drivesdk
הצייד,2026,"מסתורין, פשע",כ־105 דק',"📝 תקציר: אח טיפול נמרץ מתנדב לסייע בטיפול בחולה בתרדמת שמואשם ברצח של שש נשים צעירות. ככל שהוא מתקרב למקרה, הוא נשאב לרשת מסוכנת של סודות, שקרים ואובססיה, בזמן שבלש נחוש מנסה לחשוף את האמת לפני שהרוצח יכה שוב. החקירה מסתבכת במהירות וכל גילוי חדש מוביל לעוד שכבה של מסתורין שמקרבת לסיום מצמרר.",https://drive.google.com/file/d/1xslD5ESZV_XdTP3VfpZCk3BhJbBiaO-V/view?usp=drivesdk
מכונת מלחמה,2026,"פעולה, מדע בדיוני",כ־107 דק',"📝 תקציר: במהלך השלב האחרון והקשה ביותר במיון ליחידת הריינג’רס של צבא ארצות הברית, קבוצת לוחמים מובחרת יוצאת לתרגיל אימונים שנועד לבחון את גבולותיהם. אולם מה שאמור להיות מבחן צבאי מבוקר הופך במהרה לקרב הישרדות אמיתי כאשר הם נתקלים באיום מסתורי וקטלני שמעבר לכל מה שהכירו. כעת על הצוות להתמודד עם סכנה בלתי צפויה ולהילחם על חייהם בזמן שהמשימה יוצאת משליטה.",https://drive.google.com/file/d/17uMxSqNxq7q4QDY6sP2DQT8AnMIzt6n8/view?usp=drivesdk
חסר דעת,2026,פשע,כ־101 דק',"📝 תקציר: כאשר סדרת אירועים מסתוריים מתחילה לחשוף סודות מסוכנים, גיבור הסיפור מוצא את עצמו לכוד במשחק של מניפולציות והטעיות. ככל שהוא מתקרב לאמת, כך הוא מגלה שהכול היה חלק מתוכנית גדולה בהרבה. סרט פשע חכם ומלא הפתעות שבו שום דבר אינו כפי שהוא נראה.",https://drive.google.com/file/d/1V2V0TvuKltELRaKW78hB2nJ58eVemG0h/view?usp=drivesdk
אלפא,2025,"דרמה, אימה",כ־103 דק',"📝 תקציר: אלפא, נערה בת 13, חיה עם אמה החד-הורית שעובדת כרופאה בבית חולים, בשגרה שנראית רגילה לחלוטין. יום אחד היא חוזרת מבית הספר עם קעקוע מסתורי על הזרוע – אירוע קטן לכאורה שמתחיל לפרק את עולמה של המשפחה. ככל שהמציאות מתערערת, סודות אפלים נחשפים והמתח גובר, כשהגבול בין מציאות לאימה הולך ומיטשטש.",https://drive.google.com/file/d/1HbpTJKb8D4jhMkHmGKLq6TUDJzBprBpC/view?usp=drivesdk
"בהצלחה, תהנו, אל תמותו",2025,"פעולה, קומדיה, מדע בדיוני",כ־101 דק',"📝 תקציר: ""איש מהעתיד"" מגיע לדיינר בלוס אנג'לס, שם עליו לגייס את השילוב המדויק של לקוחות ממורמרים שיצטרפו אליו למסע של לילה אחד. יחד, הם יוצאים למרוץ נגד הזמן במטרה לעצור איום קטלני של בינה מלאכותית סוררת שמאיימת על עתיד האנושות. בין כאוס, הומור ואקשן בלתי פוסק, החבורה הלא צפויה תצטרך לשתף פעולה כדי להציל את העולם לפני שיהיה מאוחר מדי.",https://drive.google.com/file/d/1HLUjdh2_LKnx5u-WwGSwF93J6-aTdu34/view?usp=drivesdk
הדבר הזה,2026,קומדיה / אימה / מדע בדיוני,99 דק',"ליאם ניסן מביא איתו בשנת 2026,  נוכחות קשוחה, כוח אקשן וכמה שטויות משוגעות שמוסיפות צבע לסיפור. קומדיית אימה ביזארית ומלאת אקשן שעלתה בבתי הקולנוע ועכשיו גם ב־DriveFlix 🔥 📝 תקציר: שני עובדים פשוטים נקלעים לסיוט כשיצור מסוכן משתחרר ממתקן סודי. מה שמתחיל כמו עוד יום עבודה רגיל הופך במהרה לקרב הישרדות מטורף מלא בהומור שחור, כאוס ואדרנלין בלי הפסקה. במהלך הסרט הם מגלים סודות אפלים שמאיימים לערער את כל הסדר.",https://drive.google.com/file/d/1gnqol5qnHr9GiI4wxVgua4ArASVNUZgh/view?usp=drivesdk
כלב 51,2025,פשע / מדע בדיוני,100 דק',"📝 תקציר: בעתיד קרוב שבו פריז מחולקת לאזורים הנשלטים ע""י תאגידים שונים, גופה מסתורית מתגלה באזור היוקרתי ALMA. שלושה בלשים מרקעים שונים נאלצים לשתף פעולה בחקירה מורכבת, אך במהרה מגלים סודות אפלים שמאיימים לערער את כל הסדר הקיים.",https://drive.google.com/file/d/1kNcrkT3GRuWsMv-RcwrnBo72Z8txSq7A/view?usp=drivesdk
השריקה,2025,אימה,100 דק',"📝 תקציר: קבוצת תלמידי תיכון מוצאת במקרה שריקה מסתורית בעלת כוחות אפלים, ומגלה במהרה שכל מי שמשתמש בה מזמן אליו מוות אכזרי. כשהמצב יוצא משליטה והסכנה מתקרבת, הם נאלצים להתמודד עם כוח אפל עתיק ולהבין כיצד לעצור אותו לפני שיהיה מאוחר מדי.",https://drive.google.com/file/d/1z_DTCQ4mCNWfgUCkcyCxlpMHTbtyaiZs/view?usp=drivesdk
פריצה ללב,2025,"רומנטיקה, קומדיה, מתח",כ־85 דק',"📝 תקציר: כשפולשים לביתו במהלך סוף שבוע שקט, גבר צעיר מוצא את עצמו במצב בלתי צפוי כאשר אחת הפורצות משנה לחלוטין את מהלך האירועים. מה שמתחיל כפלישה מסוכנת הופך בהדרגה למפגש מוזר ומלא מתח בין שני אנשים מעולמות שונים. בין סכנה, הומור ורגעים מפתיעים, נרקם קשר בלתי צפוי שמוביל את השניים למסע לא מתוכנן.",https://drive.google.com/file/d/1B99qOSwfPa9LdUzAJBJJwnUZUDfPAjQx/view?usp=drivesdk
להתאהב ברומא,2026,"קומדיה, רומנטיקה",כ־102 דק',"📝 תקציר: לאחר שכלתו נוטשת אותו ביום חתונתם, מאט מחליט לצאת לירח הדבש ברומא – לבדו ועם לב שבור. בעיר הרומנטית בעולם, הוא פוגש מקומית מסתורית וקבוצת נופשים צבעונית שמסרבת לתת לו לשקוע ברחמים עצמיים. מה שמתחיל כחופשה כושלת הופך להרפתקה מפתיעה, מלאה ברגעים מצחיקים, אהבה חדשה וגילוי עצמי בלתי צפוי.",https://drive.google.com/file/d/13ix_aQg7kfRFS7mTGTzb8wBPvz00SIow/view?usp=drivesdk
השורד האחרון 2,2025,"פעולה, פשע",כ־105 דק',"📝 תקציר: ג'ק מורגן, לוחם כוחות מיוחדים לשעבר, חוזר לביתו עם אשתו ההרה – אך מוצא את עצמו בלב מתקפה אלימה שמשנה את חייו לנצח. לאחר טרגדיה קשה ושנות מאסר, הוא משתחרר ומגלה שהאחראים הם בניו של ראש פשע אכזרי שמחפש גם את אדמתו וגם נקמה. כעת, כשהוא חדור מטרה ונחוש יותר מתמיד, ג'ק מתכונן לעימות בלתי נמנע שבו רק צד אחד ישרוד.",https://drive.google.com/file/d/1aR4Puln_Y6AZHpFbGF90TdIHE0M4KB9H/view?usp=drivesdk
הסוכן זטא,2025,"פעולה, ריגול, מתח",כ־110 דק',"📝 תקציר: מותחן ריגול ספרדי סוחף שבו ארבעה קציני מודיעין לשעבר נרצחים בו-זמנית ברחבי העולם, ומובילים לחשיפת עבר סודי ומסוכן. שירות הביון הספרדי מגלה קשר למבצע חשאי בקולומביה מלפני 35 שנה – ולסוכן חמישי שנעלם ללא עקבות. הסוכן המיומן זטא נשלח לאתר אותו, אך מגלה שגם סוכנת מסתורית בשם אלפא נמצאת במרדף, כששניהם חושפים בהדרגה סודות מדינה אפלים וסוכן-צל מסתורי שעשוי להיות המפתח להכול.",https://drive.google.com/file/d/1DdTnxKeFUDLggSwzW_e_v3lu41h9pUQp/view?usp=drivesdk
כנופיית ברמינגהם: בן אלמוות,2026,"פשע, דרמה",כ־118 דק',"📝 תקציר: סרט המשך לסדרת הפשע הבריטית המצליחה, כאשר טומי שלבי חוזר לבמה בתקופה האפלה של מלחמת העולם השנייה. ברמינגהם, 1940 – העיר תחת הפצצות כבדות, וטומי, שחי בגלות מאז 1936, נאלץ לשוב ולהתמודד עם עברו, עם משפחתו ועם אויבים חדשים. בעולם שבו הכול מתפרק סביבו, הוא נדרש לקבל החלטות גורליות שיקבעו את עתידו ואת עתיד האימפריה שבנה.",https://drive.google.com/file/d/1qyi-jzR9ey48FEIn3L6XoWtuiC3csfbz/view?usp=drivesdk
קוד מסוכן,2024,"מתח, מדע בדיוני",כ־94 דק',"📝 תקציר: האנה היא גיימרית מקצועית עם כישורים יוצאי דופן בעולם הווירטואלי, שמקבלת הזדמנות לנסות ציוד חדשני שמתחבר ישירות למוחה. יחד עם חברתה ג'ן, היא מגלה שהטכנולוגיה לא רק קוראת את מחשבותיה – אלא גם מתחילה להשפיע עליהן ולשלוט בהן. ככל שהן נשאבות עמוק יותר לעולם של מציאות מדומה, הגבולות בין אמת לאשליה מיטשטשים, והאנה מבינה שהיא חלק מניסוי מסוכן שאין ממנו דרך חזרה.",https://drive.google.com/file/d/1vsDeTFqMjQr_WU9o4zScUI8RdvGOG7hO/view?usp=drivesdk
דויד: הסרט,2025,"אנימציה, הרפתקאות, משפחה",כ־108 דק',"📝 תקציר: סרט אנימציה הרפתקאות הוליוודי לכל המשפחה המביא אל המסך הגדול את סיפורו מעורר ההשראה של דויד – רועה צאן צעיר שהפך לגיבור ולאחר מכן למלך. כאשר הענק גוליית מטיל אימה על האומה העברית, דויד יוצא לקרב כשהוא חמוש רק בקלע, אבנים ואמונה בלתי מעורערת. נרדף על ידי גורל ומונע על ידי שליחות, מסעו בוחן את גבולות האומץ, הנאמנות והאהבה – ומוביל לעימות מכריע על עתיד הממלכה כולה. הסרט מציג עולם חזותי עשיר בהשראת נופי ארץ ישראל – מהרי יהודה ועד עמק האלה – עם דמויות מלאות חיים וקול מרגש.",https://drive.google.com/file/d/1etn0DSdl7hZAKAE6Nag6J35GG8k3Cdiq/view?usp=drivesdk
האשליה 3,2025,"מתח, פשע, אקשן",125 דקות,"📝 תקציר: קבוצת הקוסמים חוזרת למופע המסוכן והשאפתני ביותר שלה. שוד חדש ומתוחכם מציב אותם מול יריבים חכמים וחזקים מאי פעם. האשליות גדולות יותר, הסיכונים קיצוניים והמשחק משתנה. כשהקלפים נחשפים, מתברר שלא כולם יודעים מי באמת שולט במופע.",https://drive.google.com/file/d/1ZIKPrmAG3oIPLJJdBPXH8H-ROhjY4PzE/view?usp=drivesdk
אנקונדה,2025,"אימה, מתח, הרפתקאות",כ־105 דק',"📝 תקציר: קבוצת חוקרים יוצאת למסע בג’ונגלים מסוכנים, בחיפוש אחר תגלית נדירה. מהר מאוד המשימה הופכת למאבק הישרדותי מול אנקונדה ענקית וקטלנית. הג’ונגל סוגר עליהם, הפחד גובר, וכל צעד עלול להיות האחרון. גרסה מחודשת ואינטנסיבית לסרט האימה האייקוני.",https://drive.google.com/file/d/1jldR1oS_qL5afSu2KqbhRBY8CZQupjUQ/view?usp=drivesdk
שובר העולמות,2025,"מדע בדיוני, אקשן, אימה",95 דק',"📝 תקציר: העולם כפי שאנו מכירים אותו נסדק לאחר קרע מסתורי במציאות. יצורים קטלניים ממימד אחר, המכונים “Breakers”, חודרים לעולמנו ומשנים את מי שהם תוקפים. כאשר האנושות קורסת והגברים נופלים ראשונים, נשים מובילות את המאבק להישרדות. עוד סרט בכיכובה של מילה גובוביץ’, בסיפור אפוקליפטי על אב שמסתיר את בתו באי מבודד ומכשיר אותה לשרוד. הכול משתנה כשילדה מסתורית נסחפת לחוף – והאיום האמיתי מתגלה במלוא עוצמתו. מאבק עוצר נשימה על הישרדות, משפחה ועתיד האנושות.",https://drive.google.com/file/d/1LisLgbWnnCtnn9mYBC7kfdqqqUGtZ8mP/view?usp=drivesdk
